Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável,Padrão de acabamento (Código),Padrão de acabamento,Tipo de projeto (Código),Tipo de projeto
3,Unidade da Federação,38,Reais,..,35,São Paulo,199901,janeiro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199902,fevereiro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199903,março 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199904,abril 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199905,maio 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199906,junho 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199907,julho 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199908,agosto 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199909,setembro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199910,outubro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199911,novembro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,199912,dezembro 1999,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200001,janeiro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200002,fevereiro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200003,março 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200004,abril 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200005,maio 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200006,junho 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200007,julho 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200008,agosto 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200009,setembro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200010,outubro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200011,novembro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200012,dezembro 2000,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200101,janeiro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200102,fevereiro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200103,março 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200104,abril 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200105,maio 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200106,junho 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200107,julho 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200108,agosto 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200109,setembro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200110,outubro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200111,novembro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200112,dezembro 2001,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200201,janeiro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200202,fevereiro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200203,março 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200204,abril 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200205,maio 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200206,junho 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200207,julho 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200208,agosto 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200209,setembro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200210,outubro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200211,novembro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200212,dezembro 2002,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200301,janeiro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200302,fevereiro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200303,março 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200304,abril 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200305,maio 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200306,junho 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200307,julho 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200308,agosto 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200309,setembro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200310,outubro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200311,novembro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200312,dezembro 2003,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200401,janeiro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200402,fevereiro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200403,março 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200404,abril 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200405,maio 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200406,junho 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200407,julho 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200408,agosto 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200409,setembro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200410,outubro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200411,novembro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200412,dezembro 2004,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200501,janeiro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200502,fevereiro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200503,março 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200504,abril 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200505,maio 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200506,junho 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200507,julho 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200508,agosto 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200509,setembro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200510,outubro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200511,novembro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200512,dezembro 2005,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200601,janeiro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200602,fevereiro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200603,março 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200604,abril 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200605,maio 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200606,junho 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200607,julho 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200608,agosto 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200609,setembro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200610,outubro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200611,novembro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200612,dezembro 2006,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200701,janeiro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200702,fevereiro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200703,março 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200704,abril 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200705,maio 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200706,junho 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200707,julho 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200708,agosto 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200709,setembro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200710,outubro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200711,novembro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200712,dezembro 2007,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200801,janeiro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200802,fevereiro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200803,março 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200804,abril 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200805,maio 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200806,junho 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200807,julho 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200808,agosto 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200809,setembro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200810,outubro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200811,novembro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200812,dezembro 2008,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200901,janeiro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200902,fevereiro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200903,março 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200904,abril 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200905,maio 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200906,junho 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200907,julho 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200908,agosto 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200909,setembro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200910,outubro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200911,novembro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,200912,dezembro 2009,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201001,janeiro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201002,fevereiro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201003,março 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201004,abril 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201005,maio 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201006,junho 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201007,julho 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201008,agosto 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201009,setembro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201010,outubro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201011,novembro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201012,dezembro 2010,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201101,janeiro 2011,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201102,fevereiro 2011,51,Custo de projeto m²,0,,0,
3,Unidade da Federação,38,Reais,..,35,São Paulo,201103,março 2011,51,Custo de projeto m²,0,,0,
