Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Finalidade da produção (Código),Finalidade da produção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,1020,Unidades,668,35,São Paulo,198701,1º trimestre 1987,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,25094932,35,São Paulo,198701,1º trimestre 1987,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,125201,35,São Paulo,198701,1º trimestre 1987,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,666,35,São Paulo,198702,2º trimestre 1987,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,24859621,35,São Paulo,198702,2º trimestre 1987,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,124257,35,São Paulo,198702,2º trimestre 1987,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,664,35,São Paulo,198703,3º trimestre 1987,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,24482885,35,São Paulo,198703,3º trimestre 1987,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,125789,35,São Paulo,198703,3º trimestre 1987,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,661,35,São Paulo,198704,4º trimestre 1987,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,23575637,35,São Paulo,198704,4º trimestre 1987,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,123538,35,São Paulo,198704,4º trimestre 1987,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,704,35,São Paulo,198801,1º trimestre 1988,151,Número de informantes,72208,Total,115236,Total do trimestre
