Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável,Seções e atividades industriais (CNAE 2.0) (Código),Seções e atividades industriais (CNAE 2.0)
3,Unidade da Federação,30,Número-índice,81.43223,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
3,Unidade da Federação,30,Número-índice,-,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129315,2 Indústrias extrativas
3,Unidade da Federação,30,Número-índice,81.43224,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
3,Unidade da Federação,30,Número-índice,83.87977,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129317,3.10 Fabricação de produtos alimentícios
3,Unidade da Federação,30,Número-índice,69.56905,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129318,3.11 Fabricação de bebidas
3,Unidade da Federação,30,Número-índice,138.50009,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129320,3.13 Fabricação de produtos têxteis
3,Unidade da Federação,30,Número-índice,107.60379,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129321,3.14 Confecção de artigos do vestuário e acessórios
3,Unidade da Federação,30,Número-índice,87.58209,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129324,"3.17 Fabricação de celulose, papel e produtos de papel"
3,Unidade da Federação,30,Número-índice,78.30646,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129326,"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis"
3,Unidade da Federação,30,Número-índice,68.66648,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),56689,3.20 Fabricação de produtos químicos
3,Unidade da Federação,30,Número-índice,-,35,São Paulo,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129330,3.21 Fabricação de produtos farmoquímicos e farmacêuticos
