Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável,Tipos de índice (Código),Tipos de índice,Atividades de serviços (Código),Atividades de serviços
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201101,janeiro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201101,janeiro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201101,janeiro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201101,janeiro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201101,janeiro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201101,janeiro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201102,fevereiro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201102,fevereiro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201102,fevereiro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201102,fevereiro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201102,fevereiro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201102,fevereiro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201103,março 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201103,março 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201103,março 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201103,março 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201103,março 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201103,março 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201104,abril 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201104,abril 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201104,abril 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201104,abril 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201104,abril 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201104,abril 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201105,maio 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201105,maio 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201105,maio 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201105,maio 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201105,maio 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201105,maio 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201106,junho 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201106,junho 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201106,junho 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201106,junho 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201106,junho 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201106,junho 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201107,julho 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201107,julho 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201107,julho 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201107,julho 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201107,julho 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201107,julho 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201108,agosto 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201108,agosto 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201108,agosto 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201108,agosto 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201108,agosto 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201108,agosto 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201109,setembro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201109,setembro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201109,setembro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201109,setembro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201109,setembro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201109,setembro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201110,outubro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201110,outubro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201110,outubro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201110,outubro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201110,outubro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201110,outubro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201111,novembro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201111,novembro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201111,novembro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201111,novembro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201111,novembro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201111,novembro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201112,dezembro 2011,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201112,dezembro 2011,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201112,dezembro 2011,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201112,dezembro 2011,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201112,dezembro 2011,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,,,...,35,São Paulo,201112,dezembro 2011,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
