Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.32,35,São Paulo,198603,março 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198603,março 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.33,35,São Paulo,198604,abril 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198604,abril 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.34,35,São Paulo,198605,maio 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198605,maio 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.34,35,São Paulo,198606,junho 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198606,junho 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.35,35,São Paulo,198607,julho 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198607,julho 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.36,35,São Paulo,198608,agosto 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198608,agosto 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.37,35,São Paulo,198609,setembro 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198609,setembro 1986,1198,Custo médio m² - variação percentual em doze meses
