Produto,Mês,Ano,Moeda,Preço,Unidade
Alho Nacional (Roxo),10,2025,R$,"185,84",cx.10 kg
Alho Nacional (Roxo) tam.7,10,2025,R$,"237,71",cx.10 kg
Arroz em Fardo Agulhinha parboilizado tipo 1,10,2025,R$,"134,27",fardo 30 kg
Arroz em Fardo Agulhinha tipo 1,10,2025,R$,"105,36",fardo 30 kg
Ave abatida Coxa,10,2025,R$,"10,49",kg
Ave abatida Frango resfriado,10,2025,R$,"9,26",kg
Ave abatida Peito,10,2025,R$,"19,75",kg
Ave abatida Sobrecoxa,10,2025,R$,"10,54",kg
Batata Asterix Lavada,10,2025,R$,"55,42",sc.25 kg
Batata Cesar Escovada,10,2025,R$,"67,37",sc.25 kg
Batata Comum Lavada,10,2025,R$,"60,63",sc.25 kg
Café torrado e moido,10,2025,R$,"30,18",500 g
Carne bovina resfriada Acém,10,2025,R$,"31,57",kg
Carne bovina resfriada Alcatra,10,2025,R$,"42,43",kg
Carne bovina resfriada Contrafilé,10,2025,R$,"43,91",kg
Carne bovina resfriada Coxão Duro,10,2025,R$,"38,29",kg
Carne bovina resfriada Coxão Mole,10,2025,R$,"38,51",kg
Carne bovina resfriada Dianteiro com osso,10,2025,R$,"17,89",kg
Carne bovina resfriada Lagarto,10,2025,R$,"38,34",kg
Carne bovina resfriada Patinho,10,2025,R$,"39,72",kg
Carne bovina resfriada Ponta de Agulha,10,2025,R$,"16,79",kg
Carne bovina resfriada Traseiro com osso,10,2025,R$,"24,04",kg
Carne suína 1/2 carcaça,10,2025,R$,"12,48",kg
Carne suína Bisteca (carré),10,2025,R$,"18,38",kg
Carne suína Lombo,10,2025,R$,"26,04",kg
Carne suina Pernil s/osso,10,2025,R$,"21,04",kg
Cebola Nacional,10,2025,R$,"40,20",sc.20 kg
Charque Dianteiro,10,2025,R$,"41,56",kg
Farinha de Mandioca Farinha crua fina,10,2025,R$,"90,34",sc.25 kg
Farinha de Mandioca Farinha crua fina,10,2025,R$,"90,00",sc.50 kg
Farinha de Mandioca Farinha crua grossa,10,2025,R$,"75,00",sc.40 kg
Farinha de Mandioca Farinha crua grossa,10,2025,R$,"81,23",sc.20 kg
Farinha de Mandioca Farinha torrada,10,2025,R$,"112,07",sc.25 kg
Farinha de Mandioca Farinha torrada,10,2025,R$,"105,00",sc.50 kg
Farinha de Trigo Especial,10,2025,R$,"90,77",sc.25 kg
Feijão Carioquinha tipo 1,10,2025,R$,"236,18",sc.60 kg
Feijão Carioquinha tipo 1 (1kg),10,2025,R$,"5,70",pc.1 kg
Feijão Preto tipo 1,10,2025,R$,"189,50",sc.60 kg
Feijão Preto tipo 1 (1kg),10,2025,R$,"5,12",pc.1 kg
Lácteos Leite em pó integral instant.,10,2025,R$,"16,28",lata 400 g
